Date,Close,High,Low,Open,Volume,"('Close', 'CETX')","('High', 'CETX')","('Low', 'CETX')","('Open', 'CETX')","('Volume', 'CETX')"
2025-10-24,,,,,,5.489999771118164,5.550000190734863,5.309999942779541,5.360000133514404,58500.0
2025-10-27,,,,,,5.260000228881836,5.460000038146973,5.070000171661377,5.460000038146973,124100.0
2025-10-28,,,,,,5.079999923706055,5.369999885559082,5.079999923706055,5.260000228881836,50800.0
2025-10-29,,,,,,4.920000076293945,5.170000076293945,4.889999866485596,5.090000152587891,106600.0
2025-10-30,,,,,,4.449999809265137,5.120999813079834,4.429999828338623,4.989999771118164,128300.0
2025-10-31,,,,,,4.820000171661377,4.869999885559082,4.449999809265137,4.449999809265137,53000.0
2025-11-03,,,,,,4.619999885559082,4.829999923706055,4.539999961853027,4.820000171661377,51100.0
2025-11-04,,,,,,4.550000190734863,4.644999980926514,4.519999980926514,4.579999923706055,43600.0
2025-11-05,,,,,,4.670000076293945,4.730000019073486,4.5,4.550000190734863,25000.0
2025-11-06,,,,,,4.380000114440918,4.840000152587891,4.369999885559082,4.670000076293945,40200.0
2025-11-07,,,,,,4.519999980926514,4.545000076293945,4.199999809265137,4.340000152587891,40000.0
2025-11-10,,,,,,4.900000095367432,5.119999885559082,4.590000152587891,4.590000152587891,85900.0
2025-11-11,,,,,,5.050000190734863,5.050000190734863,4.836999893188477,4.840000152587891,31800.0
2025-11-12,,,,,,4.760000228881836,5.070000171661377,4.75,5.070000171661377,31800.0
2025-11-13,,,,,,3.740000009536743,4.769999980926514,3.6700000762939453,4.710000038146973,136400.0
2025-11-14,,,,,,3.3399999141693115,3.700000047683716,3.2300000190734863,3.700000047683716,97300.0
2025-11-17,,,,,,3.200000047683716,3.3499999046325684,3.069999933242798,3.3399999141693115,69800.0
2025-11-18,,,,,,3.5299999713897705,3.5899999141693115,3.119999885559082,3.2300000190734863,117300.0
2025-11-19,,,,,,3.630000114440918,3.9089999198913574,3.4000000953674316,3.5,541600.0
2025-11-20,,,,,,2.8399999141693115,3.1700000762939453,2.759999990463257,2.799999952316284,359000.0
2025-11-21,,,,,,2.7200000286102295,2.880000114440918,2.630000114440918,2.7799999713897705,93600.0
2025-11-24,,,,,,3.140000104904175,3.4200000762939453,2.7100000381469727,2.759999990463257,496800.0
2025-11-25,,,,,,2.950000047683716,3.2300000190734863,2.9000000953674316,3.2300000190734863,95700.0
2025-11-26,,,,,,2.9700000286102295,3.0899999141693115,2.859999895095825,2.950000047683716,114200.0
2025-11-28,,,,,,3.259999990463257,3.3499999046325684,2.990000009536743,2.990000009536743,104000.0
2025-12-01,,,,,,3.0399999618530273,3.3499999046325684,3.0199999809265137,3.25,53700.0
2025-12-02,,,,,,2.809999942779541,3.049999952316284,2.809999942779541,3.009999990463257,165400.0
2025-12-03,,,,,,2.5999999046325684,2.75,2.5,2.75,172200.0
2025-12-04,,,,,,2.9600000381469727,3.3399999141693115,2.549999952316284,2.5799999237060547,431300.0
2025-12-05,,,,,,3.069999933242798,4.139999866485596,2.819999933242798,3.009999990463257,3952300.0
2025-12-08,,,,,,7.050000190734863,9.699999809265137,4.840000152587891,8.130000114440918,132546400.0
2025-12-09,,,,,,4.489999771118164,6.5,4.079999923706055,6.070000171661377,9613800.0
2025-12-10,,,,,,4.119999885559082,4.420000076293945,3.4600000381469727,4.0,4145700.0
2025-12-11,,,,,,3.4800000190734863,3.7699999809265137,3.2699999809265137,3.609999895095825,9292500.0
2025-12-12,,,,,,2.9600000381469727,3.5989999771118164,2.950000047683716,3.5899999141693115,2672200.0
2025-12-15,,,,,,2.4000000953674316,2.9200000762939453,2.390000104904175,2.9100000858306885,2016000.0
2025-12-16,,,,,,2.450000047683716,2.7200000286102295,2.1600000858306885,2.190000057220459,1438500.0
2025-12-17,,,,,,2.180000066757202,2.4600000381469727,2.180000066757202,2.450000047683716,1060000.0
2025-12-18,,,,,,2.3399999141693115,2.4709999561309814,2.2100000381469727,2.299999952316284,947500.0
2025-12-19,,,,,,2.299999952316284,2.4200000762939453,2.119999885559082,2.3299999237060547,1125800.0
2025-12-22,,,,,,3.0299999713897705,3.2149999141693115,2.309999942779541,2.3299999237060547,16769700.0
2025-12-23,,,,,,2.4010000228881836,2.5399999618530273,2.240000009536743,2.509999990463257,13824383.0
